1,0,0
2,1000,0
3,2325,0
4,4025,0
5,6175,0
6,8800,0
7,11950,0
8,15675,0
9,20025,0
10,25025,0
11,30725,0
12,37175,0
13,44400,0
14,52450,0
15,61375,0
16,71200,0
17,81950,0
18,93675,0
19,106400,0
20,120175,1
21,135050,0
22,151850,0
23,169850,0
24,189100,0
25,209650,0
26,231525,0
27,254775,0
28,279425,0
29,305525,0
30,333100,0
31,362200,0
32,392850,0
33,425100,0
34,458975,0
35,494525,0
36,531775,0
37,570750,0
38,611500,0
39,654075,0
40,698500,1
41,744800,0
42,795425,0
43,848125,0
44,902900,0
45,959800,0
46,1018875,0
47,1080150,0
48,1143675,0
49,1209475,0
50,1277600,1
51,1348075,0
52,1424575,0
53,1503625,0
54,1585275,0
55,1669550,0
56,1756500,0
57,1846150,0
58,1938550,0
59,2033725,0
60,2131725,1
61,2232600,0
62,2341550,0
63,2453600,0
64,2568775,0
65,2687100,0
66,2808625,0
67,2933400,0
68,3061475,0
69,3192875,0
70,3327650,1
71,3465825,0
72,3614525,0
73,3766900,0
74,3922975,0
75,4082800,0
76,4246400,0
77,4413825,0
78,4585125,0
79,4760350,0
80,4939525,1
81,5122700,0
82,5338925,0
83,5581950,0
84,5855050,0
85,6161850,0
86,6506450,0
87,6893400,0
88,7327825,0
89,7815450,0
90,8362650,
